数据科目代码,冲突字段,现在版本值,被合并值,处理策略
C9028,数据科目名称,地方债投资内部FTP利息支出,利率债投资内部FTP利息支出,保留现在版本
C9028,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
C9028,是否需重计算,1,0,保留现在版本
C9029,数据科目名称,政策性金融债投资内部FTP利息支出,信用债投资内部FTP利息支出,保留现在版本
C9029,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
C9029,是否需重计算,1,0,保留现在版本
E1200,数据科目名称,开鑫贷单品联合贷款_日均总额,表内贷款时点余额,保留现在版本
E1201,数据科目名称,开鑫贷分期联合贷款_日均总额,联合贷款时点余额,保留现在版本
F3100,数据科目名称,开心小账户管理资产_日均总额,各项存款余额,保留现在版本
F3150,数据科目名称,企小乐管理资产_日均总额,各项存款日均,保留现在版本
K1200,数据科目名称,开鑫贷单品贷款收益率_年化,一般性贷款收益率_年化,保留现在版本
K1200,是否需重计算,1,0,保留现在版本
K1201,数据科目名称,开鑫贷分期贷款收益率_年化,票据直贴收益率_年化,保留现在版本
K1201,是否需重计算,1,0,保留现在版本
K1250,数据科目名称,企企贷贷款收益率_年化,福费廷收益率_年化,保留现在版本
K1250,是否需重计算,1,0,保留现在版本
K1251,数据科目名称,车车贷单品贷款收益率_年化,票据转贴收益率_年化,保留现在版本
K1251,产品科目代码,Z0004,Z02010301,"并集合并为: Z0004,Z02010301"
K1251,是否需重计算,1,0,保留现在版本
K1252,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1252,是否需重计算,1,0,保留现在版本
K1253,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1253,是否需重计算,1,0,保留现在版本
K1255,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1255,是否需重计算,1,0,保留现在版本
K1256,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1256,是否需重计算,1,0,保留现在版本
K1257,数据科目名称,同业存单投资收益率_年化,同业存单投资资产收益率_年化,保留现在版本
K1257,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1257,是否需重计算,1,0,保留现在版本
K1258,数据科目名称,同业货基投资收益率_年化,同业货基投资资产收益率_年化,保留现在版本
K1258,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1258,是否需重计算,1,0,保留现在版本
K1259,数据科目名称,同业债基投资收益率_年化,同业债基投资资产收益率_年化,保留现在版本
K1259,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1259,是否需重计算,1,0,保留现在版本
K1260,数据科目名称,国债投资收益率_年化,利率债投资资产收益率_年化,保留现在版本
K1260,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
K1260,是否需重计算,1,0,保留现在版本
K1261,数据科目名称,地方债投资收益率_年化,信用债投资资产收益率_年化,保留现在版本
K1261,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
K1261,是否需重计算,1,0,保留现在版本
K1262,数据科目名称,政策性金融债投资收益率_年化,资产支持证券（ABS）资产收益率_年化,保留现在版本
K1262,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
K1262,是否需重计算,1,0,保留现在版本
K1278,数据科目名称,开鑫贷单品贷款内部FTP利率_年化,一般性贷款FTP利率_年化,保留现在版本
K1278,产品科目代码,Z0001,"Z01010101,Z01010102,Z01010103,Z01010104,Z010102,Z01010201,Z0103,Z010402,Z0105,Z020101,Z020102","并集合并为: Z0001,Z01010101,Z01010102,Z01010103,Z01010104,Z010102,Z01010201,Z0103,Z010402,Z0105,Z020101,Z020102"
K1278,是否需重计算,1,0,保留现在版本
K1279,数据科目名称,企企贷单品贷款内部FTP利率_年化,票据直贴FTP利率_年化,保留现在版本
K1279,产品科目代码,Z0002,Z02010301,"并集合并为: Z0002,Z02010301"
K1279,是否需重计算,1,0,保留现在版本
K1280,数据科目名称,开鑫贷分期贷款内部FTP利率_年化,票据转贴FTP利率_年化,保留现在版本
K1280,产品科目代码,Z0003,Z02010301,"并集合并为: Z0003,Z02010301"
K1280,是否需重计算,1,0,保留现在版本
K1281,数据科目名称,车车贷单品贷款内部FTP利率_年化,福费廷FTP利率_年化,保留现在版本
K1281,产品科目代码,Z0004,Z02010303,"并集合并为: Z0004,Z02010303"
K1281,是否需重计算,1,0,保留现在版本
K1282,数据科目名称,存放同业活期资产内部FTP利率_年化,存放同业活期资产FTP利率_年化,保留现在版本
K1282,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1282,是否需重计算,1,0,保留现在版本
K1283,数据科目名称,存放同业定期资产内部FTP利率_年化,存放同业定期资产FTP利率_年化,保留现在版本
K1283,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1283,是否需重计算,1,0,保留现在版本
K1285,数据科目名称,拆放同业资产内部FTP利率_年化,拆放同业资产FTP利率_年化,保留现在版本
K1285,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1285,是否需重计算,1,0,保留现在版本
K1286,数据科目名称,买入返售资产内部FTP利率_年化,买入返售资产FTP利率_年化,保留现在版本
K1286,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1286,是否需重计算,1,0,保留现在版本
K1287,数据科目名称,同业存单投资内部FTP利率_年化,同业存单投资FTP利率_年化,保留现在版本
K1287,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1287,是否需重计算,1,0,保留现在版本
K1288,数据科目名称,同业货基投资内部FTP利率_年化,同业货基投资FTP利率_年化,保留现在版本
K1288,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1288,是否需重计算,1,0,保留现在版本
K1289,数据科目名称,同业债基投资内部FTP利率_年化,同业债基投资FTP利率_年化,保留现在版本
K1289,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1289,是否需重计算,1,0,保留现在版本
K1290,数据科目名称,国债投资内部FTP利率_年化,利率债投资FTP利率_年化,保留现在版本
K1290,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
K1290,是否需重计算,1,0,保留现在版本
K1291,数据科目名称,地方债投资内部FTP利率_年化,信用债投资FTP利率_年化,保留现在版本
K1291,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
K1291,是否需重计算,1,0,保留现在版本
K1292,数据科目名称,政策性金融债投资内部FTP利率_年化,资产支持证券（ABS）FTP利率_年化,保留现在版本
K1292,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
K1292,是否需重计算,1,0,保留现在版本
