SHEET::开鑫贷
92::平均财务利率-自持 | 业务口径平均财务利率（税前利息收入/逾期不超90天日均余额） | 12.89% | 12.89% | 12.89% |  |  |  | 12.32% | 12.73% | 12.54% | 12.63% | 12.72% | 12.80% | 12.89% | 12.98% | 13.07% | 13.15% | 13.24% | 13.33% |  |  |  | 
94::逾期90+规模占比-自营 | 逾期90+规模占比-自营 | 1.46% | 1.45% | 1.45% |  |  |  | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% |  |  |  | 
98::贷款FTP | FTP利率 | 2.14% | 2.14% | 2.14% |  |  |  | 2.15% | 2.13% | 2.10% | 2.11% | 2.12% | 2.13% | 2.14% | 2.14% | 2.15% | 2.16% | 2.17% | 2.17% | 0.01% |  |  | 
99::贷款净利息收入（利息收入-FTP） | 贷款净利息收入（利息收入-FTP） | 162 | 162 | 162 |  |  |  | 12.4 | 11.5 | 12.7 | 12 | 13 | 13 | 14 | 14 | 14 | 15 | 15 | 15 |  |  |  | 
100::税前00渠道费_自持 | 00渠道费抵减 | 50.88 | 51.11 | 51.11 |  |  |  | 3.76 | 3.60 | 4.05 | 3.86 | 4.13 | 4.11 | 4.37 | 4.47 | 4.46 | 4.77 | 4.72 | 4.82 | 99.5%，逾期罚息不分润 |  |  | 
102::逾期90+规模占比-自营 | 逾期90+规模占比-自营 | 1.45% | 1.45% | 1.45% |  |  |  | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% | 1.45% |  |  |  | 
103::合同渠道费率 | 合同渠道费率 | 32.30% | 32.30% | 32.30% |  |  |  | 32.3% | 32.3% | 32.3% | 32.3% | 32.3% | 32.3% | 32.3% | 32.3% | 32.3% | 32.3% | 32.3% | 32.3% | 30.07% |  |  | 
104::免收渠道费占比 | 免收渠道费占比 | 1.00% | 1.00% | 1.00% |  |  |  | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% |  |  |  | 
105::aaa同业收益率 | aaa同业收益率 | 1.70% | 1.64% | 1.64% |  |  |  | 1.68% | 1.68% | 1.68% | 1.65% | 1.65% | 1.65% | 1.62% | 1.62% | 1.62% | 1.60% | 1.60% | 1.60% |  |  |  | 
106::税前电信渠道费支出 | 分期渠道费（电信） | 0.03 | 0.02 | 0.02 |  |  |  | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |  |  |  | 
